Priority,Src,Dest,Protocol,TTL,TOS,ID,IpLen,DgmLen,DF,Seq,Ack,TcpLen,Class
1,192.168.52.10:1060,67.196.50.144:80,TCP,57,0x0,34187,20,258,***A****,0xBB770235,0x9A83A217,20,Attempted User Privilege Gain
2,67.196.50.144:80,192.168.52.10:1060,TCP,128,0x0,1442,20,5880,***A****,0x9A83C2E5,0xBB77030F,20,Potentially Bad Traffic
1,67.196.50.144:80,192.168.52.10:1060,TCP,128,0x0,1442,20,5880,***A****,0x9A83C2E5,0xBB77030F,20,Potential Corporate Privacy Violation
1,67.196.50.144:80,192.168.52.10:1060,TCP,128,0x0,1442,20,5880,***A****,0x9A83C2E5,0xBB77030F,20,A Network Trojan was Detected
2,192.168.52.10:1061,74.125.128.106:80,TCP,128,0x0,1587,20,80,***AP***,0x15196602,0xA31DFD39,20,Potentially Bad Traffic
1,192.168.52.10:1071,67.196.50.144:80,TCP,57,0x0,7546,20,258,***A****,0x4F0BF781,0x1548B94F,20,A Network Trojan was Detected
1,192.168.52.10:1071,67.196.50.144:80,TCP,57,0x0,7546,20,258,***A****,0x4F0BF781,0x1548B94F,20,Attempted User Privilege Gain
2,67.196.50.144:80,192.168.52.10:1071,TCP,128,0x0,1732,20,5880,***A****,0x1548DA1D,0x4F0BF85B,20,Potentially Bad Traffic
1,67.196.50.144:80,192.168.52.10:1071,TCP,128,0x0,1732,20,5880,***A****,0x1548DA1D,0x4F0BF85B,20,Potential Corporate Privacy Violation
1,67.196.50.144:80,192.168.52.10:1071,TCP,128,0x0,1732,20,5880,***A****,0x1548DA1D,0x4F0BF85B,20,A Network Trojan was Detected
1,192.168.52.10:1072,67.196.50.144:80,TCP,57,0x0,45171,20,258,***A****,0x2B0DB45C,0xFFE316C8,20,A Network Trojan was Detected
1,192.168.52.10:1072,67.196.50.144:80,TCP,57,0x0,45171,20,258,***A****,0x2B0DB45C,0xFFE316C8,20,Attempted User Privilege Gain
2,67.196.50.144:80,192.168.52.10:1072,TCP,128,0x0,1801,20,4420,***A****,0xFFE33796,0x2B0DB536,20,Potentially Bad Traffic
1,67.196.50.144:80,192.168.52.10:1072,TCP,128,0x0,1801,20,4420,***A****,0xFFE33796,0x2B0DB536,20,Potential Corporate Privacy Violation
1,67.196.50.144:80,192.168.52.10:1072,TCP,128,0x0,1801,20,4420,***A****,0xFFE33796,0x2B0DB536,20,A Network Trojan was Detected
1,67.196.50.144:80,192.168.52.10:1056,TCP,57,0x0,37314,20,8414,***A****,0x58ECA9B1,0xD90B0BA3,20,A Network Trojan was Detected
3,85.17.23.18:80,192.168.23.10:1039,TCP,58,0x0,32888,20,359,***AP***,0xBB8E8220,0xA4A473A4,20,Misc activity
1,85.17.23.18:80,192.168.23.10:1039,TCP,58,0x0,32906,20,1500,***A****,0xBB8EBE56,0xA4A47E22,20,A Network Trojan was Detected
3,85.17.23.18:80,192.168.23.10:1039,TCP,128,0x0,752,20,17560,***A****,0xBB8EBE56,0xA4A47E22,20,Misc activity
3,85.17.23.18:80,192.168.23.10:1039,TCP,128,0x0,752,20,17560,***A****,0xBB8EBE56,0xA4A47E22,20,Misc activity
1,85.17.23.18:80,192.168.23.10:1039,TCP,128,0x0,752,20,17560,***A****,0xBB8EBE56,0xA4A47E22,20,Potential Corporate Privacy Violation
3,85.17.23.18:80,192.168.23.10:1043,TCP,58,0x0,25342,20,359,***AP***,0x6A84DC1F,0xA819A0D,20,Misc activity
2,69.147.224.162:80,192.168.40.10:1031,TCP,128,0x0,77,20,4671,***AP***,0x8E33F9A2,0x79C0BCC1,20,Potentially Bad Traffic
2,192.168.40.10:1038,78.159.112.180:80,TCP,54,0x0,63430,20,403,***A****,0xFCE57F91,0xE0D3096C,20,Potentially Bad Traffic
2,78.159.112.180:80,192.168.40.10:1038,TCP,128,0x0,313,20,818,***AP***,0xE0D3096C,0xFCE580FC,20,Potentially Bad Traffic
2,78.159.112.180:80,192.168.40.10:1038,TCP,128,0x0,313,20,818,***AP***,0xE0D3096C,0xFCE580FC,20,Potentially Bad Traffic
