Class,Protocol,SrcIP,DestIP,Priority
Misc activity,ICMP,192.168.64.12,192.168.64.1,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.12,192.168.64.1,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.12,192.168.64.1,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.12,192.168.64.1,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.12,192.168.64.1,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.12,192.168.64.1,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.12,192.168.64.1,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.12,192.168.64.1,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.12,192.168.64.1,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.12,192.168.64.1,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.12,192.168.64.1,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.12,192.168.64.1,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.12,192.168.64.1,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.12,192.168.64.1,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.12,192.168.64.1,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.12,192.168.64.1,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.12,192.168.64.1,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.12,192.168.64.1,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.12,192.168.64.1,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.12,192.168.64.1,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
Misc activity,ICMP,192.168.64.1,192.168.64.12,3
